A. C. W. Finkelstein,Anthony Finkelstein
Daniel S. Wallach,Dan S. Wallach
Daniel Wigdor,Daniel J. Wigdor
Daniela Damian,Daniela E. Damian
Daniela E. Herlea Damian,Daniela E. Damian
Daniela E. Herlea,Daniela E. Damian
Daniela G. Trevisan,Daniela Gorski Trevisan
Daniela Raicu,Daniela Stan Raicu
Daniela Stan,Daniela Stan Raicu
Daniela Trevisan,Daniela Gorski Trevisan
Danielle Albers,Danielle Albers Szafir
Danny Cheng,Danny C. Cheng
Daochuan Hung,D. C. Douglas Hung
Darek Kowalski,Dariusz R. Kowalski
Darrell Whitley,L. Darrell Whitley
Darío Correal,Darío Ernesto Correal Torres
Dave Andersen,David G. Andersen
David Andersen,David G. Andersen
David Arthur Eppstein,David Eppstein
